"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc44a21",1.78730502776478e-06,0.82107636122693,0.667,0.1,0.0329632666270659,"16","Slc44a2"
"Acaca",1.83051208433183e-06,0.864578016900501,0.5,0.057,0.0337601343713319,"16","Acaca"
"Lpar14",1.87806469819097e-06,1.10215897579491,0.833,0.151,0.0346371472287361,"16","Lpar1"
"Spata13",2.02496861724274e-06,0.542920312766944,0.5,0.054,0.0373464962078079,"16","Spata13"
"Emp26",2.05431730294896e-06,1.04274331369264,0.833,0.165,0.0378877740182877,"16","Emp2"
"Nradd1",2.1302284074238e-06,0.583468191982215,0.5,0.057,0.0392878025181172,"16","Nradd"
"Snx30",2.19211429792561e-06,0.470352009643877,0.333,0.025,0.040429163996642,"16","Snx30"
"Afap1l21",2.22141474655686e-06,0.758724120033494,0.5,0.057,0.0409695521707482,"16","Afap1l2"
"Zdhhc14",2.65434537069982e-06,0.463392548633433,0.333,0.026,0.0489540916718167,"16","Zdhhc14"
"Mtg2",2.86690503096194e-06,0.536327828905364,0.5,0.056,0.052874329486031,"16","Mtg2"
"Slc35e3",2.88458555800081e-06,0.378799066085042,0.333,0.025,0.0532004114462089,"16","Slc35e3"
"Diexf",2.9643756213925e-06,0.383202398778112,0.333,0.025,0.0546719795853418,"16","Diexf"
"Rap2a1",3.60295512370728e-06,0.887493240304734,0.833,0.164,0.0664493013465334,"16","Rap2a"
"Adam191",3.74519025422559e-06,1.16658988468819,0.833,0.163,0.0690725438586826,"16","Adam19"
"Fzd1",3.95286129318508e-06,0.754086673697905,0.5,0.059,0.0729026208302125,"16","Fzd1"
"Wdr47",4.157707280395e-06,0.442683489680662,0.333,0.026,0.0766805953723249,"16","Wdr47"
"Dcaf6",4.21155008797933e-06,0.540429261993027,0.5,0.057,0.0776736182726028,"16","Dcaf6"
"Vcl2",4.83856032341065e-06,0.988932695004534,1,0.246,0.0892375680446626,"16","Vcl"
"Unkl1",5.47644691534471e-06,0.428782042610688,0.333,0.027,0.101002110459702,"16","Unkl"
"Dhh1",5.91944099885351e-06,0.375921650948785,0.333,0.026,0.109172250341855,"16","Dhh"
"Ptprj",5.99315491522815e-06,0.412053170878119,0.333,0.027,0.110531756101553,"16","Ptprj"
"Mrpl151",6.58749143957497e-06,0.88577249825878,1,0.262,0.121493104620081,"16","Mrpl15"
"Nat10",6.7007029484173e-06,0.574830647918738,0.333,0.027,0.12358106447766,"16","Nat10"
"Itgav2",6.76938013092421e-06,0.948685594087337,0.833,0.165,0.124847677754635,"16","Itgav"
"Fxyd12",6.84428671654459e-06,1.41418233061434,1,0.346,0.126229179913232,"16","Fxyd1"
"Cotl11",7.40574705567555e-06,0.66516092763973,0.833,0.161,0.136584192947824,"16","Cotl1"
"Col16a15",7.42278441899209e-06,1.16496723759965,0.833,0.171,0.136898413039471,"16","Col16a1"
"Peli2",7.50664122770737e-06,0.541880235127699,0.5,0.06,0.138444984162607,"16","Peli2"
"Akap61",7.93736930207817e-06,0.431008631175953,0.333,0.028,0.146388902038228,"16","Akap6"
"Col27a12",8.36106638401692e-06,1.0995481051167,0.667,0.115,0.154203147320424,"16","Col27a1"
"Entpd21",9.18424988117083e-06,1.40873410489196,0.667,0.108,0.169385120558434,"16","Entpd2"
"Numa13",9.49871893856145e-06,0.768259257633783,0.833,0.174,0.175184873383889,"16","Numa1"
"Zfp428",9.66620379508685e-06,0.564618865810168,0.5,0.063,0.178273796592787,"16","Zfp428"
"Kcnmb41",9.68870192485263e-06,0.699503616781179,0.333,0.029,0.178688729600057,"16","Kcnmb4"
"Ypel1",9.6937550104539e-06,0.424259871921177,0.333,0.029,0.178781923657801,"16","Ypel1"
"Igsf8",1.05632389388576e-05,0.511819426252719,0.5,0.062,0.19481781574935,"16","Igsf8"
"Prpf6",1.08078229268982e-05,0.554880114302079,0.667,0.106,0.199328678240784,"16","Prpf6"
"Gulp12",1.08163968965713e-05,0.809628518864349,0.667,0.114,0.199486807963465,"16","Gulp1"
"Pmp223",1.08781165224689e-05,1.32456900552057,1,0.312,0.200625103023894,"16","Pmp22"
"Cacna1d",1.09525504561704e-05,0.445269221481602,0.333,0.029,0.201997888063151,"16","Cacna1d"
"Zrsr1",1.2040941022241e-05,0.440292407830154,0.333,0.029,0.222071075273192,"16","Zrsr1"
"Cyb5r1",1.27372636611108e-05,0.512140493791418,0.5,0.062,0.234913353701867,"16","Cyb5r1"
"Epdr1",1.34125163659653e-05,0.376310464839798,0.333,0.029,0.247367039337499,"16","Epdr1"
"Abca8a3",1.35004026736856e-05,1.3813833233755,0.833,0.18,0.248987926510783,"16","Abca8a"
"Arhgef26",1.35038366387391e-05,0.451533484836446,0.333,0.03,0.249051259128266,"16","Arhgef26"
"Gm37494",1.38003927082055e-05,0.684592137989897,0.667,0.108,0.254520642717435,"16","Gm37494"
