"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Co1",1.86136658113945e-54,1.67907095700727,0.895,0.992,3.43291838559549e-50,"6","mt-Co1"
"mt-Cytb",3.05307301872947e-53,1.81913608993363,0.867,0.991,5.63078256844276e-49,"6","mt-Cytb"
"mt-Co3",5.12759219403282e-53,1.86081067202417,0.895,0.993,9.45681828345474e-49,"6","mt-Co3"
"mt-Nd1",2.62358385306814e-52,1.69161215358984,0.816,0.986,4.83867570021357e-48,"6","mt-Nd1"
"Auts21",2.93615332571559e-45,0.250463927593813,0.167,0.635,5.41514757861726e-41,"6","Auts2"
"Tra2a",1.86605336177363e-44,0.256983071211607,0.2,0.693,3.44156221511911e-40,"6","Tra2a"
"Pnisr",4.94328873670899e-42,0.323001518120187,0.217,0.716,9.11690741711239e-38,"6","Pnisr"
"Ash1l",4.56267250720103e-39,0.308488687292579,0.203,0.668,8.41493690503087e-35,"6","Ash1l"
"Brd8",2.8192505248707e-38,0.275243922039996,0.135,0.532,5.19954374301903e-34,"6","Brd8"
"Mast41",6.94355108360692e-38,0.393389628067159,0.228,0.711,1.28059912634962e-33,"6","Mast4"
"Hnrnph1",8.12027548842431e-38,0.318552964450063,0.241,0.739,1.4976224083301e-33,"6","Hnrnph1"
"Tardbp",1.51625072777721e-37,0.255895195694147,0.165,0.583,2.79642121723951e-33,"6","Tardbp"
"Ebf11",1.93723879404836e-36,0.258530966979935,0.283,0.796,3.57284950786339e-32,"6","Ebf1"
"Dst",3.03652137473919e-36,0.3116192496403,0.268,0.784,5.60025637143148e-32,"6","Dst"
"Fubp1",1.47289332386535e-35,0.289411672523338,0.255,0.757,2.71645715720486e-31,"6","Fubp1"
"Setd5",1.56255224639399e-35,0.277156710596381,0.238,0.731,2.88181510802444e-31,"6","Setd5"
"Prpf38b",7.06411988812459e-35,0.310438719778227,0.15,0.535,1.30283563096682e-30,"6","Prpf38b"
"Wsb1",1.60374323725585e-34,0.27962930622912,0.158,0.555,2.95778365247097e-30,"6","Wsb1"
"Zfp638",2.35393303633493e-34,0.277784963493742,0.141,0.519,4.34135869891251e-30,"6","Zfp638"
