"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Stk10",2.91905669603261e-11,0.460127544077413,0.5,0.127,4.84154743603969e-07,"11","Stk10"
"Heca",3.03869438774155e-11,0.304925943933543,0.342,0.068,5.03997851150813e-07,"11","Heca"
"Rpl36al1",3.05596526709682e-11,0.706179810758276,0.895,0.568,5.06862399200678e-07,"11","Rpl36al"
"R3hdm4",3.29384204537046e-11,0.409387348609718,0.579,0.171,5.46316641645145e-07,"11","R3hdm4"
"Samhd11",3.6886672466368e-11,0.831652923352402,0.684,0.243,6.1180234952718e-07,"11","Samhd1"
"Rpsa3",3.81197590612061e-11,0.995593130977351,0.921,0.829,6.32254323789164e-07,"11","Rpsa"
"Lpin1",4.33851893582115e-11,0.382816471809425,0.263,0.044,7.19586750695295e-07,"11","Lpin1"
"Dnajc15",4.3434018992642e-11,0.533468405693017,0.474,0.123,7.2039663901196e-07,"11","Dnajc15"
"Rps242",4.56746300392478e-11,0.892580625286977,0.974,0.912,7.57559413830965e-07,"11","Rps24"
"Actb2",4.7465205945713e-11,0.763271106465208,0.974,0.917,7.87257905815596e-07,"11","Actb"
"Rplp03",5.73599186597467e-11,0.902006363804024,0.947,0.721,9.51371610890559e-07,"11","Rplp0"
"Vasp1",6.71402696966797e-11,0.688084781611464,0.711,0.281,1.11358851318913e-06,"11","Vasp"
"Rpl36",6.98204901841667e-11,0.785003838096839,0.921,0.816,1.15804265019459e-06,"11","Rpl36"
"Hilpda",6.99542553965951e-11,1.21978071444893,0.342,0.074,1.16026128000793e-06,"11","Hilpda"
"Gm10020",8.73370422679449e-11,0.298071907894581,0.342,0.07,1.44857218305613e-06,"11","Gm10020"
"Rps7",8.76164931537308e-11,0.956398505170194,1,0.826,1.45320715544778e-06,"11","Rps7"
"Prkca1",8.89209914387671e-11,0.51657279033949,0.263,0.046,1.47484356400339e-06,"11","Prkca"
"Mmd",9.05612086942142e-11,0.417802079102657,0.342,0.072,1.50204820740224e-06,"11","Mmd"
"Ugcg",9.22134652006367e-11,0.82243736990476,0.579,0.191,1.52945253381776e-06,"11","Ugcg"
"Sec11c1",1.04005532025655e-10,0.58144153312343,0.553,0.184,1.72503575417752e-06,"11","Sec11c"
"Fam69a",1.13628931814391e-10,0.381383276764136,0.342,0.071,1.8846494630735e-06,"11","Fam69a"
"Coq10b1",1.18376055832731e-10,0.640090962246088,0.658,0.244,1.96338526204167e-06,"11","Coq10b"
"Taf1d",1.18491551587023e-10,0.482367944435651,0.605,0.185,1.96530087462236e-06,"11","Taf1d"
"Rnf138",1.19838996792251e-10,0.500563197595436,0.421,0.107,1.98764960079627e-06,"11","Rnf138"
"Leprotl1",1.20693664838093e-10,0.48516732903179,0.526,0.161,2.00182512500461e-06,"11","Leprotl1"
"Rps261",1.28291993841006e-10,0.843656890272649,0.947,0.752,2.12785100984692e-06,"11","Rps26"
"Vimp2",1.28944265102376e-10,0.369342727343782,0.553,0.158,2.138669580988e-06,"11","Vimp"
"Sephs2",1.51393488309376e-10,0.310679324811256,0.289,0.054,2.5110123970993e-06,"11","Sephs2"
"Rbm32",1.55867925216239e-10,0.537163600610652,0.947,0.523,2.58522540763654e-06,"11","Rbm3"
"Supt4a",1.7026882147683e-10,0.523218222373974,0.763,0.325,2.8240786730147e-06,"11","Supt4a"
"Evl",1.77326975287978e-10,0.350642019052349,0.526,0.149,2.94114521212641e-06,"11","Evl"
"Sh3bgrl3",1.82741712125796e-10,0.805063572645892,0.947,0.613,3.03095403731844e-06,"11","Sh3bgrl3"
"B2m2",1.96069009457652e-10,0.695796501735662,1,0.778,3.25200059086462e-06,"11","B2m"
"Rps291",2.01562245307331e-10,0.634522769368027,0.974,0.907,3.34311140066739e-06,"11","Rps29"
"Arhgef6",2.4128600469089e-10,0.260118230925607,0.342,0.073,4.00196967380311e-06,"11","Arhgef6"
"Dgkd1",2.64406043456097e-10,0.290804793729828,0.342,0.072,4.38543863676282e-06,"11","Dgkd"
"Ttc39b",3.41722936909086e-10,0.399173292760573,0.316,0.064,5.6678166315741e-06,"11","Ttc39b"
"Shisa51",4.27081414574721e-10,0.725999456550735,0.842,0.477,7.08357234213633e-06,"11","Shisa5"
"Cnot2",4.30794638076773e-10,0.319753401326761,0.526,0.151,7.14515986714136e-06,"11","Cnot2"
"Whsc1l1",4.42426568972183e-10,0.547050670068686,0.711,0.277,7.33808707297262e-06,"11","Whsc1l1"
"Dedd2",5.91166082643492e-10,0.330443691903821,0.289,0.056,9.80508064672496e-06,"11","Dedd2"
"Rps27rt1",6.017374896231e-10,0.510550290710597,0.737,0.315,9.98041800288873e-06,"11","Rps27rt"
"Rps31",6.68840030689065e-10,0.732168385062568,0.974,0.831,1.10933807490088e-05,"11","Rps3"
"Rpl182",6.75079143234514e-10,0.709786767850407,0.947,0.826,1.11968626696876e-05,"11","Rpl18"
"Bin11",7.14113636207843e-10,0.376248923492086,0.316,0.068,1.18442887701433e-05,"11","Bin1"
"H3f3b2",7.4935636117544e-10,1.00675300469111,1,0.798,1.24288246064558e-05,"11","H3f3b"
"Rpl302",7.62332220237585e-10,0.667027363342329,0.974,0.847,1.26440422048606e-05,"11","Rpl30"
"Grb2",7.67005757951917e-10,0.593826690056076,0.658,0.245,1.27215575013905e-05,"11","Grb2"
"Chd2",7.81304792603893e-10,0.517944246986983,0.579,0.195,1.29587212901282e-05,"11","Chd2"
"Cdc42se1",8.21629897345791e-10,0.481358703804241,0.526,0.169,1.36275534773773e-05,"11","Cdc42se1"
"Rpl34",9.12797553452379e-10,0.713473831496763,0.974,0.846,1.51396602215612e-05,"11","Rpl34"
"Cblb",9.21912557974205e-10,0.295556455048906,0.316,0.066,1.52908416865602e-05,"11","Cblb"
"Ssh21",9.80306633666962e-10,0.579236845724029,0.553,0.183,1.62593658260002e-05,"11","Ssh2"
"Arsb",9.8385511812311e-10,0.417119133801513,0.289,0.06,1.63182209891899e-05,"11","Arsb"
"Rps3a12",9.96652343441087e-10,0.702040649201165,0.947,0.855,1.65304757683139e-05,"11","Rps3a1"
"Rpl232",1.03669685269732e-09,0.714106402977075,1,0.893,1.71946539988377e-05,"11","Rpl23"
"Rpl122",1.07774005459355e-09,1.12321635448588,0.895,0.76,1.78753965454886e-05,"11","Rpl12"
"Anxa63",1.09589039379335e-09,0.481422155721203,0.579,0.2,1.81764380714564e-05,"11","Anxa6"
"Pdcd41",1.14005083549883e-09,0.631838314754969,0.789,0.349,1.89088831575835e-05,"11","Pdcd4"
"Actr2",1.21370661185521e-09,0.567421266406374,0.842,0.403,2.01305378642306e-05,"11","Actr2"
"Rps18",1.28242300022461e-09,0.886330655247583,0.921,0.823,2.12702678817254e-05,"11","Rps18"
"Tcp11l2",1.35060377976424e-09,0.418369060607871,0.526,0.159,2.24011142911698e-05,"11","Tcp11l2"
"Dnajb12",1.41689774570013e-09,0.679260530663358,0.737,0.279,2.35006660101823e-05,"11","Dnajb1"
"Rpl111",1.44262509554173e-09,0.721222478959411,0.974,0.816,2.39273798346552e-05,"11","Rpl11"
"Gimap42",1.51954628957274e-09,0.874656008401548,0.684,0.314,2.52031947588534e-05,"11","Gimap4"
"Fam173a",1.52197645597053e-09,0.279453572879955,0.526,0.157,2.52435014987272e-05,"11","Fam173a"
"Efhd21",1.52998643144198e-09,0.661037890065112,0.447,0.134,2.53763549518967e-05,"11","Efhd2"
"Mrpl33",1.61461220813993e-09,0.546300068655216,0.842,0.4,2.67799580842089e-05,"11","Mrpl33"
"Inpp5d",1.8471417024065e-09,0.451110936396019,0.316,0.068,3.06366922761142e-05,"11","Inpp5d"
"Sik1",1.93565635921579e-09,0.405160683872022,0.579,0.187,3.21047963739532e-05,"11","Sik1"
"Eef1b23",2.0201045789538e-09,0.715424510581938,0.947,0.648,3.35054545465277e-05,"11","Eef1b2"
"Gm2a2",2.04880823131338e-09,0.82168769196945,0.447,0.134,3.39815333245637e-05,"11","Gm2a"
